landlot_address,road_name_address,x,y
경기도 수원시권선구 세류동 1018번지 60호,경기도 수원시 권선구 덕영대로1105번길 46 (세류동),201156.8545,417026.7816
경기도 수원시 팔달구 팔달로3가 102번지 4호,경기도 수원시 팔달구 행궁로 57 (팔달로3가),201318.8635,419487.9452
경기도 수원시장안구 율전동 495호 성대역(맞이방),"경기도 수원시 장안구 서부로 2149 (율전동,성대역(맞이방))",197111.8142,422071.1915
"경기도 수원시 권선구 권선동 1263번지 신우아파트 상가동 105,106호","경기도 수원시 권선구 권중로 82, 상가동 105,106호 (권선동,신우아파트)",202459.2972,416597.0202
경기도 수원시 권선구 금곡동 1076번지 가온마을3단지,"경기도 수원시 권선구 서수원로577번길 263, 단지상가동 105호 (금곡동, 가온마을3단지)",194850.8151,419288.1315
경기도 수원시 팔달구 화서동 220-3 영광아파트,"경기도 수원시 팔달구 덕영대로757번길 23, 영광아파트 상가동 101~3호 (화서동)",199402.1529,419806.8658
경기도 수원시 팔달구 인계동 1027-9,"경기도 수원시 팔달구 경수대로428번길 15, 1층 102호 (인계동)",202305.3663,418036.2108
경기도 수원시 팔달구 매산로1가 16-12,"경기도 수원시 팔달구 향교로1번길 8, 111, 112-2호 (매산로1가)",200043.2944,418455.1808
경기도 수원시 팔달구 인계동 946번지 2호,"경기도 수원시 팔달구 경수대로526번길 12-26, 102호 (인계동)",202528.5311,418861.591
경기도 수원시 팔달구 인계동 1008번지,"경기도 수원시 팔달구 세지로 150, 1층 (인계동)",201797.2243,418099.2428
경기도 수원시 팔달구 매산로1가 11번지 9호 세진브론즈빌,"경기도 수원시 팔달구 덕영대로 899, 세진브론즈빌 105호 (매산로1가)",199957.8828,418466.6404
경기도 수원시 팔달구 북수동 363번지 1호,"경기도 수원시 팔달구 정조로 834, 1층 (북수동)",201410.386,420054.5478
경기도 수원시 권선구 세류동 1149번지 6호,"경기도 수원시 권선구 경수대로225번길 16, 1층 (세류동)",201396.4641,416168.3327
경기도 수원시 권선구 권선동 1011번지 9호,"경기도 수원시 권선구 효원로220번길 17, 1층 104호 (권선동)",202218.2959,417806.0628
경기도 수원시 권선구 세류동 546번지 11호,"경기도 수원시 권선구 덕영대로1070번길 36, 1층 (세류동)",200745.7602,416817.9936
경기도 수원시 권선구 오목천동 381번지 청구2차아파트,"경기도 수원시 권선구 매송고색로506번길 17, 상가동 108,109호 (오목천동, 청구2차아파트)",196527.5591,415742.7124
경기도 수원시 권선구 구운동 935번지 27호,"경기도 수원시 권선구 구운로63번길 34, 1층 101호 (구운동)",197351.4214,419732.7495
경기도 수원시 권선구 고색동 432번지 1호,"경기도 수원시 권선구 오목천로 161, 1층 (고색동)",197962.3832,415954.6206
